name,symbol,link
CATTOLICA ASS,CASS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000784154.html?lang=it
CELLULARLINE,CELL.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005244618.html?lang=it
CEMBRE,CMB.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001128047.html?lang=it
CEMENTIR HOLDING,CEM.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/NL0013995087.html?lang=it
CENTRALE DEL LATTE D'ITALIA,CLI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003023980.html?lang=it
CIA,CIA.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003389522.html?lang=it
CIR,CIR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000070786.html?lang=it
CIRCLE,CIRC.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005344996.html?lang=it
CIVITANAVI SYSTEMS,CNS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005466153.html?lang=it
CLABO,CLA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005091324.html?lang=it
CLASS EDITORI,CLE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005117848.html?lang=it
CLEANBNB,CBB.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005377277.html?lang=it
CNH INDUSTRIAL,CNHI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/NL0010545661.html?lang=it
COFLE,CFL.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005465619.html?lang=it
COIMA RES,CRES.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005136681.html?lang=it
COMAL,CML.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005428971.html?lang=it
COMER INDUSTRIES,COM.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005246191.html?lang=it
COMMERZBANK,CBK.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE000CBK1001.html?lang=it
COMPAGNIA DEI CARAIBI,1TIME.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005453235.html?lang=it
COMPAGNIE DE SAINT-GOBAIN,SGO.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000125007.html?lang=it
CONAFI,CNF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004105653.html?lang=it
CONFINVEST,CFV.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005379604.html?lang=it
CONTINENTAL,CON.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE0005439004.html?lang=it
CONVERGENZE,CVG.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005426215.html?lang=it
COPERNICO,COP.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005379406.html?lang=it
COSTAMP GROUP,MOLD.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005068249.html?lang=it
COVER 50,COV.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005105868.html?lang=it
